cohort_month,cohort_size,months_since_first,active_persons,orders,gmv,retention_rate,gmv_per_cohort_member,is_observable,analysis_start,analysis_end
2017-10-01,4470,6,10,10,871.79,0.0022371364653243847,0.19503131991051453,true,2017-01-01,2018-08-31
2017-10-01,4470,7,16,17,1996.27,0.0035794183445190158,0.44659284116331094,true,2017-01-01,2018-08-31
2017-10-01,4470,8,12,13,2118.3300000000004,0.0026845637583892616,0.4738993288590605,true,2017-01-01,2018-08-31
2017-10-01,4470,9,9,9,1706.02,0.0020134228187919465,0.3816599552572707,true,2017-01-01,2018-08-31
2017-10-01,4470,10,9,9,781.5699999999999,0.0020134228187919465,0.17484787472035793,true,2017-01-01,2018-08-31
2017-06-01,3139,0,3139,3200,427975.470000003,1.0,136.34134119146321,true,2017-01-01,2018-08-31
2017-06-01,3139,1,15,15,3601.4,0.004778591908251036,1.1473080598916854,true,2017-01-01,2018-08-31
2017-06-01,3139,2,11,12,1673.0400000000002,0.003504300732717426,0.5329850270786876,true,2017-01-01,2018-08-31
2017-06-01,3139,3,13,13,1238.65,0.00414144632048423,0.39460019114367634,true,2017-01-01,2018-08-31
2017-06-01,3139,4,8,8,1199.79,0.002548582351067219,0.3822204523733673,true,2017-01-01,2018-08-31
2017-06-01,3139,5,12,12,1421.6799999999998,0.003822873526600828,0.4529085696081554,true,2017-01-01,2018-08-31
2017-06-01,3139,6,12,12,1316.64,0.003822873526600828,0.4194456833386429,true,2017-01-01,2018-08-31
2017-06-01,3139,7,7,7,663.0500000000001,0.0022300095571838167,0.21122969098438996,true,2017-01-01,2018-08-31
2017-06-01,3139,8,4,4,275.70000000000005,0.0012742911755336094,0.08783051927365404,true,2017-01-01,2018-08-31
2017-06-01,3139,9,7,7,420.57,0.0022300095571838167,0.13398215992354254,true,2017-01-01,2018-08-31
2017-06-01,3139,10,10,10,2114.28,0.0031857279388340237,0.6735520866518,true,2017-01-01,2018-08-31
2017-06-01,3139,11,11,11,1932.47,0.003504300732717426,0.6156323669958585,true,2017-01-01,2018-08-31
2017-06-01,3139,12,5,5,388.80999999999995,0.0015928639694170119,0.12386428798980566,true,2017-01-01,2018-08-31
2017-06-01,3139,13,4,4,817.3,0.0012742911755336094,0.2603695444409047,true,2017-01-01,2018-08-31
2017-06-01,3139,14,6,7,2155.69,0.001911436763300414,0.6867441860465117,true,2017-01-01,2018-08-31
2017-08-01,4184,0,4184,4266,564432.8300000092,1.0,134.90268403441902,true,2017-01-01,2018-08-31
2017-08-01,4184,1,29,30,4621.66,0.006931166347992352,1.1046032504780114,true,2017-01-01,2018-08-31
2017-08-01,4184,2,14,16,1905.1900000000005,0.0033460803059273425,0.4553513384321225,true,2017-01-01,2018-08-31
2017-08-01,4184,3,11,11,804.7399999999999,0.0026290630975143404,0.19233747609942636,true,2017-01-01,2018-08-31
2017-08-01,4184,4,15,15,1539.2600000000002,0.0035850860420650094,0.3678919694072658,true,2017-01-01,2018-08-31
2017-08-01,4184,5,22,24,2541.3199999999997,0.005258126195028681,0.6073900573613766,true,2017-01-01,2018-08-31
2017-08-01,4184,6,12,12,1589.63,0.0028680688336520078,0.3799306883365201,true,2017-01-01,2018-08-31
2017-08-01,4184,7,11,11,1600.6,0.0026290630975143404,0.38255258126195024,true,2017-01-01,2018-08-31
2017-08-01,4184,8,6,6,1631.6899999999998,0.0014340344168260039,0.3899832695984703,true,2017-01-01,2018-08-31
2017-08-01,4184,9,6,6,1067.78,0.0014340344168260039,0.2552055449330784,true,2017-01-01,2018-08-31
