seller_id,seller_state,seller_region,cohort_month,last_active_month,active_months,lifespan_months,observable_months,months_silent_at_window_end,orders,gmv,gmv_per_active_month,activity_density,is_censored,churn_event,gmv_quartile,is_major_seller,analysis_start,analysis_end
17e34d8224d27a541263c4c64b11a56b,SP,Sudeste,2017-02-01,2018-08-01,19,19,19,0,255,56363.240000000005,2966.486315789474,1.0,true,0,1,true,2017-01-01,2018-08-31
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,Sudeste,2017-07-01,2018-06-01,12,12,14,2,334,55578.56999999996,4631.547499999997,1.0,false,1,1,true,2017-01-01,2018-08-31
de722cd6dad950a92b7d4f82673f8833,PE,Nordeste,2018-01-01,2018-08-01,8,8,8,0,339,55426.09999999996,6928.262499999995,1.0,true,0,1,true,2017-01-01,2018-08-31
37be5a7c751166fbc5f8ccba4119e043,SP,Sudeste,2017-05-01,2018-05-01,11,13,16,3,272,55350.55,5031.868181818182,0.8461538461538461,false,1,1,true,2017-01-01,2018-08-31
218d46b86c1881d022bce9c68a7d4b15,SP,Sudeste,2017-01-01,2018-08-01,20,20,20,0,388,55093.28,2754.6639999999998,1.0,true,0,1,true,2017-01-01,2018-08-31
25c5c91f63607446a97b143d2d535d31,MG,Sudeste,2017-03-01,2018-03-01,13,13,18,5,158,54679.22,4206.093846153846,1.0,false,1,1,true,2017-01-01,2018-08-31
f5a590cf36251cf1162ea35bef76fe84,SP,Sudeste,2017-03-01,2018-08-01,17,18,18,0,117,53201.78,3129.5164705882353,0.9444444444444444,true,0,1,true,2017-01-01,2018-08-31
ceaec5548eefc6e23e6607c5435102e7,SP,Sudeste,2018-01-01,2018-08-01,8,8,8,0,203,52917.17999999999,6614.647499999999,1.0,true,0,1,true,2017-01-01,2018-08-31
b2ba3715d723d245138f291a6fe42594,SP,Sudeste,2017-01-01,2018-08-01,20,20,20,0,336,51547.08,2577.3540000000003,1.0,true,0,1,true,2017-01-01,2018-08-31
966cb4760537b1404caedd472cc610a5,SP,Sudeste,2018-03-01,2018-08-01,6,6,6,0,75,51286.049999999996,8547.675,1.0,true,0,1,true,2017-01-01,2018-08-31
e882b2a25a10b9c057cc49695f222c19,RJ,Sudeste,2018-01-01,2018-08-01,8,8,8,0,57,51057.53999999999,6382.192499999999,1.0,true,0,1,true,2017-01-01,2018-08-31
2bf6a2c1e71bbd29a4ad64e6d3c3629f,RJ,Sudeste,2017-11-01,2018-08-01,8,10,10,0,30,50628.899999999994,6328.612499999999,0.8,true,0,1,true,2017-01-01,2018-08-31
f8db351d8c4c4c22c6835c19a46f01b0,SP,Sudeste,2017-01-01,2018-08-01,20,20,20,0,667,50525.60000000003,2526.2800000000016,1.0,true,0,1,true,2017-01-01,2018-08-31
17f51e7198701186712e53a39c564617,SP,Sudeste,2017-02-01,2018-08-01,19,19,19,0,56,48019.0,2527.315789473684,1.0,true,0,1,true,2017-01-01,2018-08-31
8160255418d5aaa7dbdc9f4c64ebda44,SP,Sudeste,2017-10-01,2018-08-01,11,11,11,0,385,47017.68999999999,4274.335454545453,1.0,true,0,1,true,2017-01-01,2018-08-31
77530e9772f57a62c906e1c21538ab82,PR,Sul,2017-01-01,2018-08-01,20,20,20,0,319,46462.399999999994,2323.12,1.0,true,0,1,true,2017-01-01,2018-08-31
4e922959ae960d389249c378d1c939f5,SP,Sudeste,2017-01-01,2018-08-01,20,20,20,0,419,46011.37,2300.5685000000003,1.0,true,0,1,true,2017-01-01,2018-08-31
c826c40d7b19f62a09e2d7c5e7295ee2,SP,Sudeste,2017-08-01,2018-08-01,13,13,13,0,354,45643.73999999999,3511.0569230769224,1.0,true,0,1,true,2017-01-01,2018-08-31
850f4f8af5ea87287ac68de36e29107f,SP,Sudeste,2017-04-01,2018-06-01,15,15,17,2,187,45355.36,3023.690666666667,1.0,false,1,1,true,2017-01-01,2018-08-31
b33e7c55446eabf8fe1a42d037ac7d6d,SP,Sudeste,2017-10-01,2018-08-01,11,11,11,0,152,44985.17,4089.560909090909,1.0,true,0,1,true,2017-01-01,2018-08-31
ba90964cff9b9e0e6f32b23b82465f7b,SP,Sudeste,2018-02-01,2018-08-01,7,7,7,0,38,44212.5,6316.071428571428,1.0,true,0,1,true,2017-01-01,2018-08-31
eeb6de78f79159600292e314a77cbd18,SC,Sul,2017-02-01,2018-08-01,19,19,19,0,83,43739.840000000004,2302.0968421052635,1.0,true,0,1,true,2017-01-01,2018-08-31
4d6d651bd7684af3fffabd5f08d12e5a,SP,Sudeste,2017-04-01,2018-08-01,17,17,17,0,369,43587.40000000001,2563.9647058823534,1.0,true,0,1,true,2017-01-01,2018-08-31
e9779976487b77c6d4ac45f75ec7afe9,SP,Sudeste,2017-03-01,2018-08-01,18,18,18,0,657,43162.949999999975,2397.9416666666652,1.0,true,0,1,true,2017-01-01,2018-08-31
c3cfdc648177fdbbbb35635a37472c53,PR,Sul,2017-01-01,2018-08-01,20,20,20,0,278,43048.18000000001,2152.4090000000006,1.0,true,0,1,true,2017-01-01,2018-08-31
b839e41795b7f3ad94cc2014a52f6796,SP,Sudeste,2018-03-01,2018-08-01,6,6,6,0,33,42829.0,7138.166666666667,1.0,true,0,1,true,2017-01-01,2018-08-31
2eb70248d66e0e3ef83659f71b244378,SP,Sudeste,2018-02-01,2018-07-01,6,6,7,1,202,42628.60999999997,7104.768333333329,1.0,true,0,1,true,2017-01-01,2018-08-31
d91fb3b7d041e83b64a00a3edfb37e4f,SP,Sudeste,2017-02-01,2018-08-01,18,19,19,0,535,40889.74,2271.652222222222,0.9473684210526315,true,0,1,true,2017-01-01,2018-08-31
17a053fcb14bd219540cbde0df490be0,SP,Sudeste,2017-07-01,2018-08-01,14,14,14,0,125,40703.14,2907.367142857143,1.0,true,0,1,true,2017-01-01,2018-08-31
834f3294fba9f932f56edc879193f925,SP,Sudeste,2017-05-01,2018-08-01,12,16,16,0,66,39907.5,3325.625,0.75,true,0,1,true,2017-01-01,2018-08-31
712e6ed8aa4aa1fa65dab41fed5737e4,SC,Sul,2017-02-01,2018-05-01,14,16,19,3,79,39815.0,2843.9285714285716,0.875,false,1,1,true,2017-01-01,2018-08-31
634964b17796e64304cadf1ad3050fb7,RJ,Sudeste,2017-11-01,2018-08-01,10,10,10,0,268,39465.09999999999,3946.5099999999993,1.0,true,0,1,true,2017-01-01,2018-08-31
391fc6631aebcf3004804e51b40bcf1e,SP,Sudeste,2017-02-01,2018-08-01,19,19,19,0,518,39035.72,2054.5115789473684,1.0,true,0,1,true,2017-01-01,2018-08-31
7142540dd4c91e2237acb7e911c4eba2,SP,Sudeste,2017-03-01,2018-08-01,18,18,18,0,319,37373.560000000005,2076.308888888889,1.0,true,0,1,true,2017-01-01,2018-08-31
ea8482cd71df3c1969d7b9473ff13abc,SP,Sudeste,2017-08-01,2018-08-01,13,13,13,0,1146,37177.5199999999,2859.809230769223,1.0,true,0,1,true,2017-01-01,2018-08-31
c3867b4666c7d76867627c2f7fb22e21,SP,Sudeste,2017-03-01,2018-07-01,16,17,18,1,245,37153.399999999994,2322.0874999999996,0.9411764705882353,true,0,1,true,2017-01-01,2018-08-31
7178f9f4dd81dcef02f62acdf8151e01,SC,Sul,2017-03-01,2018-08-01,18,18,18,0,203,37070.399999999994,2059.4666666666662,1.0,true,0,1,true,2017-01-01,2018-08-31
c70c1b0d8ca86052f45a432a38b73958,SP,Sudeste,2018-04-01,2018-08-01,5,5,5,0,261,36537.36999999997,7307.473999999995,1.0,true,0,1,true,2017-01-01,2018-08-31
59417c56835dd8e2e72f91f809cd4092,SP,Sudeste,2017-01-01,2017-10-01,8,10,20,10,18,36459.0,4557.375,0.8,false,1,1,true,2017-01-01,2018-08-31
06a2c3af7b3aee5d69171b0e14f0ee87,MA,Nordeste,2018-01-01,2018-08-01,8,8,8,0,392,36408.94999999995,4551.118749999994,1.0,true,0,1,true,2017-01-01,2018-08-31
7299e27ed73d2ad986de7f7c77d919fa,MG,Sudeste,2017-03-01,2018-08-01,18,18,18,0,338,34725.42999999999,1929.1905555555552,1.0,true,0,1,true,2017-01-01,2018-08-31
e9bc59e7b60fc3063eb2290deda4cced,PR,Sul,2017-03-01,2018-08-01,18,18,18,0,216,34343.060000000005,1907.9477777777781,1.0,true,0,1,true,2017-01-01,2018-08-31
dbc22125167c298ef99da25668e1011f,MG,Sudeste,2017-04-01,2018-08-01,17,17,17,0,406,33776.780000000006,1986.8694117647062,1.0,true,0,1,true,2017-01-01,2018-08-31
9c0e69c7bf2619675bbadf47b43f655a,SP,Sudeste,2017-05-01,2018-06-01,13,14,16,2,157,33702.77999999999,2592.5215384615376,0.9285714285714286,false,1,1,true,2017-01-01,2018-08-31
1835b56ce799e6a4dc4eddc053f04066,SP,Sudeste,2017-09-01,2018-08-01,12,12,12,0,423,33344.20999999998,2778.6841666666646,1.0,true,0,1,true,2017-01-01,2018-08-31
5c243662ce92d84573bfaff24c3e3700,SP,Sudeste,2017-01-01,2018-02-01,14,14,20,6,98,32862.02,2347.2871428571425,1.0,false,1,1,true,2017-01-01,2018-08-31
2528513dd95219a6013d4d05176e391a,SP,Sudeste,2017-03-01,2018-08-01,18,18,18,0,161,32689.100000000002,1816.0611111111111,1.0,true,0,1,true,2017-01-01,2018-08-31
855668e0971d4dfd7bef1b6a4133b41b,SP,Sudeste,2017-05-01,2018-08-01,16,16,16,0,312,32208.159999999996,2013.0099999999998,1.0,true,0,1,true,2017-01-01,2018-08-31
76d5af76d0271110f9af36c92573f765,SP,Sudeste,2017-01-01,2018-08-01,20,20,20,0,128,32014.6,1600.73,1.0,true,0,1,true,2017-01-01,2018-08-31
70eea00b476a314817cefde4aad4f89a,SP,Sudeste,2017-02-01,2018-08-01,19,19,19,0,108,31994.65,1683.9289473684212,1.0,true,0,1,true,2017-01-01,2018-08-31
7681ef142fd2c19048da7430856b5588,SP,Sudeste,2018-02-01,2018-08-01,7,7,7,0,59,31941.809999999998,4563.115714285714,1.0,true,0,1,true,2017-01-01,2018-08-31
e59aa562b9f8076dd550fcddf0e73491,PR,Sul,2017-09-01,2018-08-01,11,12,12,0,70,31574.3,2870.390909090909,0.9166666666666666,true,0,1,true,2017-01-01,2018-08-31
88460e8ebdecbfecb5f9601833981930,PR,Sul,2017-11-01,2018-08-01,9,10,10,0,248,31546.549999999992,3505.1722222222215,0.9,true,0,1,true,2017-01-01,2018-08-31
0241d4d5d36f10f80c644447315af0bd,PR,Sul,2017-10-01,2018-08-01,11,11,11,0,238,31397.700000000008,2854.3363636363642,1.0,true,0,1,true,2017-01-01,2018-08-31
87142160b41353c4e5fca2360caf6f92,RS,Sul,2017-02-01,2018-08-01,19,19,19,0,305,31095.980000000003,1636.6305263157897,1.0,true,0,1,true,2017-01-01,2018-08-31
70a12e78e608ac31179aea7f8422044b,SP,Sudeste,2017-01-01,2018-08-01,19,20,20,0,315,30858.53,1624.1331578947368,0.95,true,0,1,true,2017-01-01,2018-08-31
53e4c6e0f4312d4d2107a8c9cddf45cd,SP,Sudeste,2017-02-01,2018-08-01,19,19,19,0,473,30148.95,1586.7868421052633,1.0,true,0,1,true,2017-01-01,2018-08-31
d23019c84ffae2d5ef2270367b8605fc,PR,Sul,2017-10-01,2018-08-01,10,11,11,0,39,29205.100000000002,2920.51,0.9090909090909091,true,0,1,true,2017-01-01,2018-08-31
900ba814c251a692506d7834c1218441,SP,Sudeste,2017-07-01,2018-08-01,14,14,14,0,88,29099.690000000002,2078.549285714286,1.0,true,0,1,true,2017-01-01,2018-08-31
1554a68530182680ad5c8b042c3ab563,MG,Sudeste,2017-01-01,2018-08-01,20,20,20,0,241,28726.69,1436.3345,1.0,true,0,1,true,2017-01-01,2018-08-31
0b90b6df587eb83608a64ea8b390cf07,PR,Sul,2017-10-01,2018-08-01,11,11,11,0,164,28592.320000000007,2599.301818181819,1.0,true,0,1,true,2017-01-01,2018-08-31
7e1fb0a3ebfb01ffb3a7dae98bf3238d,SP,Sudeste,2017-02-01,2018-08-01,19,19,19,0,159,27349.53,1439.448947368421,1.0,true,0,1,true,2017-01-01,2018-08-31
59b22a78efb79a4797979612b885db36,MG,Sudeste,2017-07-01,2018-08-01,14,14,14,0,125,27184.5,1941.75,1.0,true,0,1,true,2017-01-01,2018-08-31
d1c281d3ae149232351cd8c8cc885f0d,SP,Sudeste,2017-02-01,2018-08-01,19,19,19,0,215,26942.6,1418.0315789473684,1.0,true,0,1,true,2017-01-01,2018-08-31
b32be1695eb7ec5f10f72d9610a12527,RS,Sul,2017-11-01,2018-08-01,10,10,10,0,45,26874.0,2687.4,1.0,true,0,1,true,2017-01-01,2018-08-31
12b9676b00f60f3b700e83af21824c0e,RS,Sul,2017-03-01,2018-08-01,18,18,18,0,135,26774.0,1487.4444444444443,1.0,true,0,1,true,2017-01-01,2018-08-31
