driver,bucket,n_reviews,share_of_reviews,mean_score,median_score,stddev_score,detractor_rate,promoter_rate,net_promoter_gap,comment_rate,score_vs_driver_mean,suppress_small_n,analysis_start,analysis_end
installments,01 single payment,47372,0.4817654835757144,4.14124377269273,5.0,1.3008518157407771,0.13201891412648822,0.5891032677531031,0.4570843536266148,0.3923836865659039,0.05261364963771076,false,2017-01-01,2018-08-31
installments,03 4-6x,15916,0.16186311400386455,4.078034682080925,5.0,1.3486494081830966,0.1482784619251068,0.5752073385272681,0.42692887660216133,0.4328977129932144,-0.01059544097409404,false,2017-01-01,2018-08-31
installments,unknown,721,0.007332451947523645,1.7295423023578362,1.0,1.3166987068674283,0.7905686546463245,0.09431345353675451,-0.6962552011095701,0.6837725381414702,-2.359087820697183,false,2017-01-01,2018-08-31
installments,02 2-3x,22413,0.22793654022170243,4.098781956900013,5.0,1.3275942707456045,0.14188194351492436,0.5751572747958774,0.4332753312809531,0.40641591933253024,0.010151833844994407,false,2017-01-01,2018-08-31
installments,04 7x+,11908,0.12110241025119496,4.017215317433658,5.0,1.4187040426585058,0.16946590527376554,0.5736479677527713,0.40418206247900573,0.45633187772925765,-0.0714148056213606,false,2017-01-01,2018-08-31
seller_sla,unknown,1680,0.017085324926268686,1.5928571428571427,1.0,1.205386532158232,0.8303571428571429,0.07261904761904762,-0.7577380952380953,0.6779761904761905,-2.4957729801978763,false,2017-01-01,2018-08-31
seller_sla,met dispatch SLA,88035,0.8953015356452761,4.176838757312432,5.0,1.2704602596148562,0.12359856875106491,0.5990344749247458,0.4754359061736809,0.4033168626114613,0.08820863425741354,false,2017-01-01,2018-08-31
seller_sla,missed dispatch SLA,8615,0.08761313942845521,3.6739408009286127,4.0,1.5565010690990202,0.2444573418456181,0.46360998258850844,0.21915264074289034,0.44910040626813696,-0.4146893221264061,false,2017-01-01,2018-08-31
customer_region,Sudeste,67490,0.6863622495677819,4.110164468810194,5.0,1.3370813589282773,0.1425248184916284,0.5881760260779375,0.4456512075863091,0.4081938064898504,0.021534345755175544,false,2017-01-01,2018-08-31
customer_region,Nordeste,9269,0.09426421234618122,3.8948106591865357,5.0,1.4467396855739887,0.18815406192685294,0.5125687776459165,0.32441471571906355,0.48883374689826303,-0.19381946386848314,false,2017-01-01,2018-08-31
customer_region,Centro-Oeste,5730,0.058273161802094985,4.070680628272251,5.0,1.342042374630101,0.14659685863874344,0.5630017452006981,0.4164048865619547,0.4144851657940663,-0.017949494782767417,false,2017-01-01,2018-08-31
customer_region,Sul,14014,0.14252008542662464,4.137219922934209,5.0,1.2995925146819423,0.13308120450977595,0.5864135864135864,0.4533323819038105,0.3714856571999429,0.04858979987919021,false,2017-01-01,2018-08-31
customer_region,Norte,1827,0.018580290857317196,3.9600437876299943,5.0,1.3939477999754515,0.1718664477285167,0.5259989053092501,0.3541324575807334,0.4668856048166393,-0.1285863354250245,false,2017-01-01,2018-08-31
distance_band,unknown,1299,0.013210617309061324,2.7806004618937643,2.0,1.7769433970710047,0.5057736720554272,0.3140877598152425,-0.19168591224018472,0.5712086220169361,-1.3080296611612545,false,2017-01-01,2018-08-31
distance_band,03 200-600km,38532,0.3918641309874911,4.092780026990553,5.0,1.344727600876956,0.14559327312363748,0.5817242811169937,0.43613100799335625,0.40382020139105157,0.0041499039355343825,false,2017-01-01,2018-08-31
distance_band,02 50-200km,12988,0.13208583341808197,4.242223591007083,5.0,1.2299352769995857,0.11202648598706498,0.6251924853711118,0.5131659993840468,0.3945950107791808,0.15359346795206452,false,2017-01-01,2018-08-31
distance_band,04 600-1500km,24744,0.2516424285569002,4.0573876495312,5.0,1.3519503894827005,0.14961202715809893,0.559529582929195,0.409917555771096,0.4146459747817653,-0.031242473523819037,false,2017-01-01,2018-08-31
distance_band,05 1500km+,8899,0.09050137292789585,3.9366220923699293,5.0,1.4211996229184287,0.17788515563546467,0.5235419710079784,0.3456568153725137,0.47319923586919876,-0.1520080306850895,false,2017-01-01,2018-08-31
distance_band,01 under 50km,11868,0.1206956168005695,4.229356252106505,5.0,1.24593185760501,0.11585776879002359,0.6239467475564543,0.5080889787664307,0.38894506235254467,0.14072612905148585,false,2017-01-01,2018-08-31
order_status,shipped,1024,0.01041391233601139,2.0048828125,1.0,1.4513874394696085,0.6943359375,0.1162109375,-0.578125,0.6103515625,-2.083747310555019,false,2017-01-01,2018-08-31
order_status,processing,293,0.0029797620258313843,1.266211604095563,1.0,0.7921608536680299,0.9283276450511946,0.020477815699658702,-0.9078498293515359,0.6996587030716723,-2.8224185189594557,false,2017-01-01,2018-08-31
order_status,canceled,561,0.0057052781450218654,1.8128342245989304,1.0,1.3844465072360197,0.7611408199643493,0.11051693404634581,-0.6506238859180036,0.6524064171122995,-2.2757958984560887,false,2017-01-01,2018-08-31
order_status,invoiced,291,0.002959422353300112,1.6219931271477663,1.0,1.2267411889963538,0.8281786941580757,0.07560137457044673,-0.752577319587629,0.6804123711340206,-2.4666369959072525,false,2017-01-01,2018-08-31
order_status,delivered,95568,0.971910912234313,4.156328478151683,5.0,1.284388443062989,0.12796124225682237,0.5923216976393771,0.46436045538255477,0.4050414364640884,0.06769835509666411,false,2017-01-01,2018-08-31
order_status,created,3,3.0509508796908368e-05,2.3333333333333335,1.0,2.3094010767585034,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.6666666666666666,-1.7552967897216853,true,2017-01-01,2018-08-31
order_status,unavailable,588,0.005979863724194041,1.5272108843537415,1.0,1.1307718684528705,0.8486394557823129,0.05952380952380952,-0.7891156462585034,0.6955782312925171,-2.5614192387012773,false,2017-01-01,2018-08-31
order_status,approved,2,2.0339672531272246e-05,2.5,2.5,2.1213203435596424,0.5,0.0,-0.5,0.0,-1.5886301230550188,true,2017-01-01,2018-08-31
freight_ratio_band,04 50-100%,12336,0.12545510017288722,4.079523346303502,5.0,1.3334579335628776,0.14380674448767833,0.5674448767833982,0.42363813229571984,0.3942931258106355,-0.009106776751516499,false,2017-01-01,2018-08-31
freight_ratio_band,05 over 100%,3127,0.03180107800264416,3.975375759513911,5.0,1.3995593783220914,0.16885193476175248,0.5372561560601216,0.3684042212983691,0.4131755676367125,-0.11325436354110785,false,2017-01-01,2018-08-31
freight_ratio_band,01 under 10%,15515,0.15778500966134446,4.138833387044795,5.0,1.3399041391055202,0.14237834353851112,0.6067676442152755,0.4643893006767644,0.4189494038027715,0.05020326398977648,false,2017-01-01,2018-08-31
freight_ratio_band,unknown,721,0.007332451947523645,1.7295423023578362,1.0,1.3166987068674283,0.7905686546463245,0.09431345353675451,-0.6962552011095701,0.6837725381414702,-2.359087820697183,false,2017-01-01,2018-08-31
freight_ratio_band,02 10-25%,38582,0.3923726228007729,4.121766626924472,5.0,1.3145535832614692,0.13677362500647972,0.5834067699963713,0.4466331449898916,0.41140946555388525,0.03313650386945355,false,2017-01-01,2018-08-31
freight_ratio_band,03 25-50%,28049,0.2852537374148276,4.092552319155764,5.0,1.3360930148510244,0.14346322507041248,0.5768833113479982,0.4334200862775857,0.40971157617027343,0.003922196100744735,false,2017-01-01,2018-08-31
payment_type,debit_card,1512,0.015376792433641819,4.180555555555555,5.0,1.2836363421894972,0.12698412698412698,0.6084656084656085,0.4814814814814815,0.421957671957672,0.09192543250053653,false,2017-01-01,2018-08-31
payment_type,unknown,721,0.007332451947523645,1.7295423023578362,1.0,1.3166987068674283,0.7905686546463245,0.09431345353675451,-0.6962552011095701,0.6837725381414702,-2.359087820697183,false,2017-01-01,2018-08-31
payment_type,voucher,3015,0.03066205634089291,4.072636815920398,5.0,1.3492720317630125,0.1495854063018242,0.575787728026534,0.4262023217247098,0.40829187396351574,-0.01599330713462077,false,2017-01-01,2018-08-31
payment_type,credit_card,73667,0.7491813281806163,4.105366039067697,5.0,1.333080670932771,0.1422753743195732,0.5823638807064221,0.4400885063868489,0.40966782955733233,0.016735916012677876,false,2017-01-01,2018-08-31
payment_type,boleto,19415,0.19744737109732532,4.108060777749163,5.0,1.3202796593587143,0.13844965233067216,0.5782642286891578,0.43981457635848564,0.41066185938707184,0.019430654694144067,false,2017-01-01,2018-08-31
primary_category,luggage_accessories,1023,0.010403742499745754,4.331378299120234,5.0,1.1470470709490688,0.09188660801564028,0.6510263929618768,0.5591397849462365,0.4046920821114369,0.24274817606521548,false,2017-01-01,2018-08-31
primary_category,home_appliances_2,232,0.0023594020136275804,4.133620689655173,5.0,1.260209833796654,0.12931034482758622,0.5560344827586207,0.4267241379310345,0.4396551724137931,0.04499056660015377,false,2017-01-01,2018-08-31
primary_category,books_technical,254,0.002583138411471575,4.409448818897638,5.0,1.1548442785271185,0.0984251968503937,0.7125984251968503,0.6141732283464566,0.32677165354330706,0.32081869584261913,false,2017-01-01,2018-08-31
primary_category,food_drink,224,0.0022780433235024917,4.383928571428571,5.0,1.03087350930388,0.05803571428571429,0.6473214285714286,0.5892857142857143,0.33035714285714285,0.29529844837355235,false,2017-01-01,2018-08-31
primary_category,construction_tools_construction,731,0.007434150310180006,4.106703146374829,5.0,1.3363603989443862,0.13953488372093023,0.5841313269493844,0.44459644322845415,0.3967168262653899,0.01807302331981031,false,2017-01-01,2018-08-31
primary_category,industry_commerce_and_business,228,0.0023187226685650363,4.214912280701754,5.0,1.22108729306854,0.10526315789473684,0.6008771929824561,0.4956140350877193,0.37280701754385964,0.12628215764673545,false,2017-01-01,2018-08-31
primary_category,signaling_and_security,137,0.0013932675683921488,4.131386861313868,5.0,1.265012893727449,0.10948905109489052,0.5693430656934306,0.45985401459854014,0.41605839416058393,0.0427567382588494,false,2017-01-01,2018-08-31
primary_category,furniture_bedroom,95,0.0009661344452354318,4.136842105263158,5.0,1.3884824588858942,0.15789473684210525,0.6210526315789474,0.46315789473684216,0.4631578947368421,0.04821198220813905,false,2017-01-01,2018-08-31
primary_category,art,198,0.0020136275805959524,4.02020202020202,5.0,1.3923634946064367,0.16161616161616163,0.5606060606060606,0.3989898989898989,0.4292929292929293,-0.06842810285299894,false,2017-01-01,2018-08-31
primary_category,books_imported,53,0.0005390013220787145,4.320754716981132,5.0,1.3412621051953608,0.1320754716981132,0.7358490566037735,0.6037735849056604,0.2830188679245283,0.2321245939261134,false,2017-01-01,2018-08-31
primary_category,pc_gamer,8,8.135869012508898e-05,3.125,4.0,1.807721533549109,0.375,0.25,-0.125,0.25,-0.9636301230550188,true,2017-01-01,2018-08-31
primary_category,sports_leisure,7613,0.07742296349028781,4.174832523315382,5.0,1.2956482556822055,0.12833311440956258,0.6068566924996717,0.4785235780901091,0.3828976750295547,0.08620240026036274,false,2017-01-01,2018-08-31
