category,n_items,n_orders,n_sellers,gmv,gmv_share,mean_price,median_price,freight_total,mean_freight,freight_to_price_ratio,mean_weight_g,mean_volume_litres,freight_per_kg,mean_route_distance_km,late_rate,mean_delivery_days,mean_handling_days,mean_transit_days,mean_photos,mean_description_length,mean_review_score,detractor_rate,suppress_small_n,analysis_start,analysis_end
health_beauty,9619,8791,488,1253993.85999997,0.09260230816976117,130.36634369476766,79.9,181617.37000000232,18.88110718369917,0.14483114773784192,1043.4858093356897,8.24559850296287,18.09426349144065,664.2105731712667,0.07556781999575461,11.920325306168785,2.6050415226970918,8.872967560899655,1.8298159891880652,1109.9145441314065,4.1458224132508645,0.13628262920641576,false,2017-01-01,2018-08-31
furniture_decor,8265,6397,360,723881.7100000408,0.05345569809080171,87.58399395039817,65.49,171441.5700000001,20.74308166969148,0.23683644389908737,2657.6825166364188,19.627963823351347,7.8049509449849825,561.3071059869243,0.07090796788140828,12.856655654496317,3.2408108157184308,9.144288285235522,2.4960677555958863,773.2180278281911,3.910168662918602,0.19274016132974822,false,2017-01-01,2018-08-31
electronics,2765,2548,148,158939.7499999953,0.011737049262685158,57.48273056057697,21.9,46537.73999999992,16.83100904159129,0.29280114005465147,780.5728752260397,5.580337070524331,21.562380113089805,627.1526435216837,0.07587976539589443,12.889591339300281,2.321129664419726,10.132065263692054,1.7667269439421338,606.6433996383363,4.037873270211216,0.157319737800437,false,2017-01-01,2018-08-31
christmas_supplies,153,128,17,8800.819999999994,0.0006499044945775225,57.52169934640519,44.9,3229.3000000000006,21.106535947712423,0.36693171772630306,1893.7124183006536,15.638816993464062,11.14558670246913,710.1832092176762,0.1,15.740683950617292,2.9149575617283947,12.422857561728398,2.947712418300654,529.8104575163399,4.02054794520548,0.14383561643835616,false,2017-01-01,2018-08-31
office_furniture,1685,1267,34,272659.8199999966,0.020134810450468946,161.81591691394456,144.99,68285.28000000003,40.52538872403562,0.2504413008121288,11386.228486646884,73.99155252225539,3.559158220965044,554.3426822765855,0.08002406738868832,20.77415141563047,10.213717060547314,9.967007774546499,1.2166172106824926,1156.5038575667656,3.4976076555023923,0.2595693779904306,false,2017-01-01,2018-08-31
air_conditioning,287,248,51,53317.87000000012,0.003937306223090592,185.7765505226485,139.0,6551.409999999998,22.827212543554,0.12287456344373816,4076.177700348432,24.29619512195123,5.600151470727767,537.7078227154315,0.03914590747330961,11.735271558257542,3.11933669434559,8.126666543100045,2.3867595818815333,1075.2996515679442,3.975177304964539,0.17375886524822695,false,2017-01-01,2018-08-31
computers,203,181,9,222963.1299999999,0.016464913532156372,1098.3405418719205,1100.0,9836.300000000014,48.45467980295573,0.04411626263050765,7216.79802955665,41.926640394088686,6.71415212182853,1072.3553510472852,0.05025125628140704,13.508087776847203,2.813828401265585,10.095712009119673,2.857142857142857,2602.344827586207,4.175,0.13,false,2017-01-01,2018-08-31
musical_instruments,680,628,70,191498.87999999902,0.014141407598219377,281.61599999999856,94.83500000000001,18638.49000000003,27.409544117647105,0.09732949874171654,3095.845588235294,23.633695588235323,8.85365349674019,646.3160858221827,0.07373271889400922,12.980612501422318,2.870719814957047,9.565418764578716,3.161764705882353,872.0705882352942,4.1513353115727005,0.14094955489614244,false,2017-01-01,2018-08-31
fashion_underwear_beach,131,121,9,9541.549999999985,0.000704604369846918,72.83625954198462,59.9,1916.189999999999,14.627404580152664,0.2008258616262559,276.14503816793894,3.947793893129766,52.97000691085001,554.2282077851727,0.09448818897637795,13.706325823855344,3.869931740303294,9.479931922572181,2.2442748091603053,738.8778625954199,3.976923076923077,0.17692307692307693,false,2017-01-01,2018-08-31
perfumery,3386,3132,174,393436.1700000017,0.029053649002293815,116.19497046662778,84.99,53678.699999999924,15.853130537507361,0.13643560021438725,480.32398109864147,4.891324571766074,33.005078158385125,571.4304715734461,0.06553911205073996,11.706845615624706,2.474602115423332,8.840766608499145,1.5983461311281748,721.4562906083875,4.166073546856465,0.1444246737841044,false,2017-01-01,2018-08-31
fashion_bags_accessories,2021,1855,98,152304.33999999776,0.011247051423578909,75.3608807521018,49.0,31293.0899999998,15.483963384463038,0.20546420410606986,381.2162295893122,3.8660188025729756,40.617272252926,590.2807919540764,0.05313765182186235,11.06725552697181,2.1441789260477586,8.493346781751386,3.698169223156853,428.81098466105885,4.149751243781094,0.1253731343283582,false,2017-01-01,2018-08-31
baby,3051,2874,240,410134.7300000047,0.030286769233928413,134.4263290724368,77.98,68164.18999999974,22.34158964274,0.16619950717170176,3283.7016393442623,27.21350426229519,6.806012606724292,597.623105287762,0.07707842477280377,12.495036175311965,2.868721993935198,9.201614655403471,2.4005244182235335,895.8738118649624,4.013218770654329,0.16655651024454726,false,2017-01-01,2018-08-31
construction_tools_lights,304,244,37,41080.000000000044,0.0030335896697403953,135.13157894736855,104.5,7583.799999999986,24.94671052631574,0.18461051606621173,3370.6085526315787,23.952072368420996,7.401248212830521,464.65086872253147,0.07308970099667775,9.724348891042203,2.758251007444321,6.442226413498217,2.3782894736842106,887.375,4.0508474576271185,0.14576271186440679,false,2017-01-01,2018-08-31
audio,362,348,36,50531.510000000155,0.0037315449545370933,139.58980662983467,89.0,5684.399999999998,15.70276243093922,0.1124921855689644,1223.7734806629835,3.4695303867403395,12.8314289196986,555.6941591171632,0.11666666666666667,13.338771122685191,2.5295225694444423,10.37474328060699,1.8535911602209945,785.4861878453039,3.8268156424581004,0.21787709497206703,false,2017-01-01,2018-08-31
costruction_tools_garden,238,194,33,25715.89000000003,0.0018990131025360356,108.0499579831934,48.945,5311.4000000000015,22.316806722689083,0.2065415585460972,2305.5336134453783,13.808462184873946,9.679670941487144,681.5448889535858,0.05603448275862069,11.889818755986585,2.7670462164750957,8.692340756704986,2.4495798319327733,1210.9327731092437,4.046218487394958,0.17647058823529413,false,2017-01-01,2018-08-31
cds_dvds_musicals,14,12,1,730.0,5.390750873686676e-05,52.142857142857146,45.0,224.99,16.070714285714285,0.3082054794520548,550.0,13.125,29.21948051948052,534.4971614400548,0.0,10.749771825396824,2.1483614417989423,8.149750330687828,2.0,117.0,4.642857142857143,0.0,true,2017-01-01,2018-08-31
