dimension,dimension_value,purchase_month,n_orders,late_rate,severely_late_rate,mean_lateness_days_when_late,worst_lateness_days,mean_total_days,median_total_days,mean_payment_approval_days,mean_seller_handling_days,mean_carrier_transit_days,share_payment_approval,share_seller_handling,share_carrier_transit,mean_promised_days,mean_slack_days,mean_promise_utilisation,seller_sla_miss_rate,mean_review_score,detractor_rate,mean_route_distance_km,suppress_small_n,clamped_share,analysis_start,analysis_end
customer_state,SP,2018-01-01,2975,0.03428571428571429,0.01411764705882353,11.947199301016703,174.8691087962963,9.975441258169935,8.195856481481481,0.40437495720510425,3.1300071778711485,6.441059123093684,0.04053704961411298,0.3137713006236849,0.6456916497622023,22.65405061079987,12.678609352629941,0.4366190518816112,0.10689075630252101,4.190460081190798,0.11907983761840325,241.791118108434,false,0.002352941176470588,2017-01-01,2018-08-31
customer_state,SP,2018-02-01,2632,0.07332826747720365,0.03305471124620061,9.631128862022644,103.66515046296297,11.448968561789377,9.710636574074075,0.39436573458431834,3.1957950535784634,7.858807773626591,0.03444552515416134,0.2791338832254587,0.6864205916203796,21.597158226211576,10.148189664422214,0.5262305713746122,0.12689969604863222,4.069927397783722,0.14673290026748184,269.3084801995602,false,0.0022796352583586625,2017-01-01,2018-08-31
customer_state,BA,2018-05-01,237,0.19831223628691982,0.0759493670886076,7.00418956855792,41.570590277777775,20.36314829465541,19.49357638888889,0.42239090092201903,2.3913718452101884,17.549385548523208,0.020742907472361793,0.11743625350102847,0.8618208390266099,29.736116824894513,9.372968530239099,0.7171963497948479,0.06751054852320675,3.8297872340425534,0.1829787234042553,1358.272594764324,false,0.008438818565400843,2017-01-01,2018-08-31
customer_state,RJ,2018-01-01,850,0.13058823529411764,0.07529411764705882,14.936509321821818,103.87251157407407,18.361644035947716,15.159519675925926,0.34868105936819166,3.2930384531590415,14.71992452342048,0.018989642685892254,0.17934333367491812,0.8016670236391895,29.125437962962963,10.763793927015252,0.6374991147707879,0.0988235294117647,3.8583333333333334,0.21428571428571427,489.2341030633105,false,0.001176470588235294,2017-01-01,2018-08-31
customer_state,AL,2017-08-01,17,0.17647058823529413,0.11764705882352941,8.748402777777779,10.839016203703704,25.05410130718954,25.950081018518517,0.27447099673202613,3.5860791122004354,21.193551198257083,0.010955132389971766,0.14313341629106335,0.845911451318965,35.922323665577345,10.868222358387799,0.7556106675531788,0.29411764705882354,3.9411764705882355,0.23529411764705882,1806.7319458711909,true,0.0,2017-01-01,2018-08-31
customer_state,GO,2018-02-01,146,0.15753424657534246,0.0684931506849315,8.547366646537842,26.691319444444446,20.083181126331816,18.282332175925923,0.43832144216133934,3.078060629122273,16.5667990550482,0.021825299458492636,0.15326559123078923,0.824909109310718,27.864153110730598,7.780971984398783,0.7406071662169655,0.1095890410958904,3.8055555555555554,0.1875,763.5887021168921,false,0.0,2017-01-01,2018-08-31
customer_state,PR,2018-07-01,314,0.01910828025477707,0.009554140127388535,10.406811342592594,29.478159722222223,8.642989244220335,7.374739583333334,0.5148997405048361,2.135892936128804,5.992196567586695,0.05957426602713354,0.24712433115164406,0.6933014028212224,20.590331630396317,11.947342386175983,0.4303706878035331,0.0732484076433121,4.416666666666667,0.060897435897435896,476.73467440618566,false,0.09235668789808917,2017-01-01,2018-08-31
customer_state,PR,2017-12-01,260,0.05,0.03076923076923077,10.972964743589745,23.685914351851853,14.84882523148148,12.609855324074074,0.3559213408119658,3.2313195779914525,11.261584312678062,0.02396966327392455,0.21761449324224155,0.758415843483834,31.30422987891738,16.4554046474359,0.47582813970810545,0.1,4.0926640926640925,0.138996138996139,480.16308996059354,false,0.0,2017-01-01,2018-08-31
customer_state,ES,2017-11-01,168,0.20238095238095238,0.07142857142857142,7.058257421023965,20.82585648148148,17.371424162257494,14.714780092592594,0.4808358134920635,4.01996982473545,12.87061852402998,0.02767970023648175,0.23141279535788145,0.7409075044056369,25.176014867173723,7.804590704916227,0.7086472645290282,0.18452380952380953,3.793939393939394,0.21818181818181817,791.4440094900668,false,0.0,2017-01-01,2018-08-31
customer_state,RS,2018-03-01,407,0.19164619164619165,0.10565110565110565,8.658705187559354,27.9478125,19.91003546159796,18.07175925925926,0.33630599349349355,2.779741076303576,16.79398839180089,0.016891280487277543,0.13961507409994722,0.8434936454127753,27.993884026071527,8.083848564473566,0.7188282022912216,0.0687960687960688,3.79064039408867,0.21921182266009853,883.9143492518983,false,0.0,2017-01-01,2018-08-31
